Step,Training Loss,Validation Loss,Rouge2 Precision,Rouge2 Recall,Rouge2 Fmeasure
20,2.0779,2.089972,0.141,0.1267,0.1285
30,2.0199,2.059524,0.1171,0.0858,0.0957
40,2.079,2.068205,0.1379,0.1115,0.1199
50,2.0542,2.025797,0.1551,0.1062,0.1207
60,2.1286,1.997912,0.0908,0.0697,0.0756
70,2.0604,1.982362,0.096,0.0906,0.0865
80,2.0307,2.047209,0.1028,0.0768,0.0831
90,1.9681,2.004807,0.1067,0.0625,0.0769
100,1.9566,1.970362,0.1256,0.0729,0.0868
110,2.0158,2.006125,0.0984,0.0636,0.0725
120,1.9289,1.973424,0.1425,0.1202,0.1263
130,1.9808,1.938939,0.1649,0.1391,0.1477
140,1.9416,1.966353,0.134,0.0921,0.1011
150,1.9786,1.953895,0.1072,0.1086,0.1059
160,1.9883,1.949125,0.1183,0.072,0.0844
170,1.9717,1.970148,0.0919,0.0686,0.077
180,2.0151,1.961996,0.131,0.0987,0.1081
190,1.9639,1.969551,0.18,0.1239,0.1338
200,1.9398,1.987616,0.0979,0.075,0.0835
210,1.8862,1.940419,0.1033,0.052,0.0657
220,1.9655,1.906371,0.1397,0.0811,0.0981
470,1.9688,1.915045,0.1238,0.1031,0.1083
480,1.936,1.897842,0.07,0.0679,0.0684
490,1.8668,1.885427,0.0969,0.0968,0.0933
500,1.866,1.930385,0.1142,0.085,0.0958
510,1.9357,1.885883,0.1429,0.1198,0.1261
520,1.8504,1.886283,0.124,0.1025,0.1086
530,1.8685,1.876038,0.1211,0.1005,0.1065
540,1.9222,1.900846,0.0752,0.077,0.0763
550,1.9307,1.889064,0.0923,0.0929,0.09
560,1.9152,1.922863,0.1379,0.1139,0.1214
570,1.8743,1.899491,0.1478,0.1054,0.1204
580,1.8694,1.898124,0.1256,0.0991,0.1076
590,1.8866,1.916279,0.1338,0.1096,0.1148
600,1.9191,1.906667,0.1157,0.0788,0.091
610,1.8743,1.916581,0.175,0.1058,0.1257
620,1.8764,1.872999,0.1342,0.111,0.1157
630,1.8167,1.961283,0.1275,0.0962,0.1056
640,1.8096,1.891174,0.0943,0.0857,0.0871
650,1.7884,1.878608,0.1883,0.1423,0.154
660,1.863,1.884883,0.1346,0.0994,0.1086
670,1.7522,1.882863,0.0993,0.0892,0.0908
680,1.4795,1.862099,0.1533,0.09,0.1089
690,1.524,1.907918,0.1821,0.1189,0.14
700,1.6254,1.895007,0.1476,0.1234,0.129
710,1.5988,1.900716,0.0921,0.0636,0.0714
